Model,accuracy,balanced_accuracy,macro_f1,f1,f1_no_churn,precision,recall,specificity,npv,auc_roc,lift_top_10pct,brier,threshold,N_Backtests,class_balance_floor,eligible_for_champion
XGBoost_Regularized,0.7259200682473457,0.6203316283792117,0.44989653437456634,0.8389759763411555,0.06081709240797719,0.98232282033287,0.7327542791991644,0.5079089775592592,0.03362570563565435,0.6718847549120348,1.0088262708607159,0.214658858934423,0.4607338267117739,4,0.5079089775592592,True
XGBoost_Balanced,0.7193477066714296,0.6227557438958446,0.44738395892131055,0.8339372311976341,0.06083068664498703,0.9822091920629233,0.7253000334197687,0.5202114543719205,0.03329771873153547,0.6796300464609294,1.0113461097031857,0.2043872940089435,0.4739213420748711,4,0.5202114543719205,True
Logistic_Unweighted,0.9725963394936323,0.5045153362884514,0.503580831534621,0.9860100466300628,0.021151616439179215,0.9781901950888167,0.9941182546950622,0.014912417881840523,0.04596608407049285,0.629938642733098,1.0172962072326475,0.021605024745869665,0.95,4,0.014912417881840523,False
Logistic_Balanced,0.5819670579096243,0.5838724773086854,0.3914875678770921,0.7312454792817817,0.05172965647240254,0.9823070706684384,0.5825323585961243,0.5852125960212466,0.027823868598037926,0.618654132699875,1.0166131417876036,0.24638982208532484,0.5196587572562466,4,0.5825323585961243,False
Logistic_StrongL2,0.5703607588605111,0.5829012645518135,0.38645690098938584,0.7218928222442289,0.05102097973454281,0.9821937582995252,0.5708210327482747,0.5949814963553522,0.027436662478521834,0.6182442977094635,1.016060031779916,0.24586361531353504,0.5227263381413353,4,0.5708210327482747,False
