Validation_Snapshot,Model,Train_Rows,Validation_Rows,Train_Churn_Rate,Validation_Churn_Rate,accuracy,precision,recall,specificity,npv,f1,f1_no_churn,balanced_accuracy,macro_f1,brier,threshold,tp,tn,fp,fn,auc_roc,lift_top_10pct
12,Logistic_Balanced,133181,43781,0.9901637620981972,0.9885795207966926,0.5929284392773121,0.9927230501257983,0.5925694877659943,0.624,0.017385489802741558,0.7421436425719081,0.03382847229751707,0.6082847438829971,0.3879860574347126,0.24425396834940963,0.5186013236634912,25647,312,188,17634,0.6446973498763892,1.0080874016070882
12,Logistic_StrongL2,133181,43781,0.9901637620981972,0.9885795207966926,0.5976108357506681,0.9926668202411119,0.5973752916984358,0.618,0.017423174513673527,0.7458854414585947,0.03389086920756787,0.607687645849218,0.3898881553330813,0.24333462551627022,0.5188142550064128,25855,309,191,17426,0.6453797740347959,1.007856400827618
12,Logistic_Unweighted,133181,43781,0.9901637620981972,0.9885795207966926,0.9845823530755351,0.9886681653438547,0.9958180263857119,0.012,0.03208556149732621,0.9922302158273381,0.017467248908296946,0.503909013192856,0.5048487323678175,0.011793707711550071,0.95,43100,6,494,181,0.649412721517525,1.008549403166028
12,XGBoost_Balanced,133181,43781,0.9901637620981972,0.9885795207966926,0.689751261962952,0.9943075898801598,0.6901180656639172,0.658,0.023942944472745798,0.8147461163923024,0.04620462046204621,0.6740590328319587,0.4304753684271743,0.20029899610228372,0.48498503255844116,29869,329,171,13412,0.7450196622074351,1.0110904117401982
12,XGBoost_Regularized,133181,43781,0.9901637620981972,0.9885795207966926,0.6906420593408099,0.9940193374754959,0.6912270973406345,0.64,0.0233849751534639,0.8154215159857177,0.04512126339537507,0.6656135486703172,0.43027138969054635,0.21228273616794066,0.46970541167259217,29917,320,180,13364,0.7300390471569511,1.0110904117401982
13,Logistic_Balanced,176962,48821,0.9897718154179993,0.9885090432395895,0.5707175191003871,0.9923537473851258,0.5701201823456279,0.6221033868092691,0.016544204787864423,0.7241860342694707,0.03223125230882896,0.5961117845774485,0.3782086432891498,0.24542511503240244,0.5224627003038529,27514,349,212,20746,0.6345561364356616,1.0070667332955434
13,Logistic_StrongL2,176962,48821,0.9897718154179993,0.9885090432395895,0.5731549947768378,0.9924571674868,0.5725445503522586,0.6256684491978609,0.0167302192564347,0.7261665418325646,0.032589016294508145,0.5991064997750597,0.37937777906353637,0.24518452210858044,0.5227024467295838,27631,351,210,20629,0.6361696485096695,1.0070667332955434
13,Logistic_Unweighted,176962,48821,0.9897718154179993,0.9885090432395895,0.9831425001536224,0.988648303426111,0.9943638624119353,0.017825311942959002,0.03546099290780142,0.9914978460521285,0.02372479240806643,0.5060945871774472,0.5076113192300975,0.01187382938789299,0.95,47988,10,551,272,0.6497063957632935,1.008931288037296
13,XGBoost_Balanced,176962,48821,0.9897718154179993,0.9885090432395895,0.7383912660535425,0.993409710249708,0.7402610857853295,0.5775401069518716,0.025196360525701844,0.8483531618816936,0.04828614008941878,0.6589005963686005,0.4483196509855562,0.20122060981820458,0.46926588702201844,35725,324,237,12535,0.7352318435568478,1.0103814972808816
13,XGBoost_Regularized,176962,48821,0.9897718154179993,0.9885090432395895,0.7360766883103582,0.9931963304798818,0.7380646498135102,0.5650623885918004,0.024463651798116992,0.8468314254127884,0.046896959834307264,0.6515635192026552,0.4468641926235479,0.21279359266117423,0.4596107466816902,35619,317,244,12641,0.7251542262536631,1.0107958427790487
14,Logistic_Balanced,225783,53759,0.9894987665147509,0.9886344612064957,0.6099443814059041,0.9924100994644224,0.6101264393768345,0.5941080196399345,0.0172168468981218,0.7556715565757431,0.033463931781516486,0.6021172295083845,0.39456774417862983,0.24865812587742192,0.512810917438675,32427,363,248,20721,0.6380820959216256,1.007545042264055
14,Logistic_StrongL2,225783,53759,0.9894987665147509,0.9886344612064957,0.5547908257222046,0.9927140255009107,0.5537367351546625,0.646481178396072,0.01638120515904284,0.7109210812377709,0.0319527584533247,0.6001089567753672,0.3714369198455478,0.2479761836838374,0.5245612245040319,29430,395,216,23718,0.639561828828173,1.007733192598745
14,Logistic_Unweighted,225783,53759,0.9894987665147509,0.9886344612064957,0.9823285403374319,0.9887636241057718,0.9934146157898698,0.01800327332242226,0.030470914127423823,0.9910836633942147,0.02263374485596708,0.505708944556146,0.5068587041250909,0.011766709087515695,0.95,52798,11,600,350,0.6536037710586021,1.0086739442721941
14,XGBoost_Balanced,225783,53759,0.9894987665147509,0.9886344612064957,0.7836083260477316,0.9928064385935756,0.7868217054263565,0.5040916530278232,0.026465028355387523,0.8778931236813653,0.05028981957710833,0.6454566792270899,0.4640914716292368,0.20353011868836673,0.4506760566234589,41818,308,303,11330,0.723955690788173,1.009990996615023
14,XGBoost_Regularized,225783,53759,0.9894987665147509,0.9886344612064957,0.7760375006975576,0.9928071353217608,0.7791073982087755,0.5090016366612111,0.025806986972035515,0.8730707598886732,0.04912336123835097,0.6440545174349933,0.4610970605635121,0.2132140822858247,0.4505650489330292,41408,311,300,11740,0.712215692165299,1.009802846280333
15,Logistic_Balanced,279542,58440,0.9893325511014445,0.9464407939767283,0.554277891854894,0.9517413856984068,0.5573133248960405,0.5006389776357828,0.06014893290342392,0.7029806837100048,0.10739496950174765,0.5289761512659117,0.4051878266058762,0.24722207908206534,0.5247600876189672,30825,1567,1563,24485,0.5572809485658239,1.043753389983728
15,Logistic_StrongL2,279542,58440,0.9893325511014445,0.9464407939767283,0.555886379192334,0.950937019969278,0.5596275537877419,0.489776357827476,0.05921205098493627,0.7045982244479855,0.10565127498277051,0.5247019558076089,0.405124749715378,0.24695912994545213,0.5248274263253127,30953,1533,1597,24357,0.5518659394652158,1.041583800397758
15,Logistic_Unweighted,279542,58440,0.9893325511014445,0.9464407939767283,0.9403319644079398,0.946680687479529,0.9928765141927319,0.011821086261980831,0.08584686774941995,0.9692284612465695,0.02078067958438641,0.5023488002273564,0.49500457041547796,0.0509858527965199,0.95,54916,37,3093,394,0.5670316825929714,1.0430301934550714
15,XGBoost_Balanced,279542,58440,0.9893325511014445,0.9464407939767283,0.6656399726214921,0.9483130295282498,0.6839992768034714,0.3412140575079872,0.0575865415723067,0.794756522835175,0.0985421664513748,0.5126066671557293,0.4466493446432749,0.212499451426919,0.4907583920955658,37832,1068,2062,17478,0.5143129892912617,1.0139215331766407
15,XGBoost_Regularized,279542,58440,0.9893325511014445,0.9464407939767283,0.7009240246406571,0.9492684780543417,0.7226179714337371,0.31757188498402555,0.06084720861900098,0.8205802040774427,0.10212678516387547,0.5200949282088814,0.4613534946206591,0.2203450246227524,0.46305409955978394,39968,994,2136,15342,0.5201300540722261,1.0036159826432833
